225,99
224,99
224,98
223,98
223,97
222,97
222,96
221,96
221,95
218,95
218,94
216,94
216,93
215,93
215,86
213,86
213,89
211,89
211,91
210,91
210,92
196,92
196,91
189,91
189,92
185,92
185,88
172,88
172,86
170,86
170,83
169,83
169,82
168,82
168,81
166,81
166,76
165,76
165,74
164,74
164,73
155,73
155,75
153,75
153,76
152,76
152,78
155,78
155,83
154,83
154,84
153,84
153,85
152,85
152,88
143,88
143,89
135,89
135,90
134,90
134,99
133,99
133,101
132,101
132,102
129,102
129,105
127,105
127,107
125,107
125,108
121,108
121,112
120,112
120,114
119,114
119,116
118,116
118,117
117,117
117,120
113,120
113,119
110,119
110,118
104,118
104,115
101,115
101,120
100,120
100,121
98,121
98,123
97,123
97,124
95,124
95,125
94,125
94,126
93,126
93,125
91,125
91,122
83,122
83,123
82,123
82,124
81,124
81,128
74,128
74,127
69,127
69,125
68,125
68,124
67,124
67,123
66,123
66,122
61,122
61,124
60,124
60,126
59,126
59,127
56,127
56,123
54,123
54,124
52,124
52,128
46,128
46,133
45,133
45,143
35,143
35,144
33,144
33,145
32,145
32,148
33,148
33,149
34,149
34,150
35,150
35,157
32,157
32,158
29,158
29,157
25,157
25,156
21,156
21,155
20,155
20,154
19,154
19,153
15,153
15,154
13,154
13,157
12,157
12,160
13,160
13,164
12,164
12,165
11,165
11,166
10,166
10,171
9,171
9,177
43,177
43,174
45,174
45,173
188,173
188,171
195,171
195,170
196,170
196,169
197,169
197,168
207,168
207,167
209,167
209,166
210,166
210,165
211,165
211,163
215,163
215,161
217,161
217,160
218,160
218,158
220,158
220,157
221,157
221,155
222,155
222,153
223,153
223,152
224,152
224,151
227,151
227,150
228,150
228,148
230,148
230,147
231,147
231,145
233,145
233,144
234,144
234,142
237,142
237,141
238,141
238,140
239,140
239,139
240,139
240,138
244,138
244,135
243,135
243,134
240,134
240,131
238,131
238,130
237,130
237,128
235,128
235,125
234,125
234,124
233,124
233,123
232,123
232,122
231,122
231,121
230,121
230,120
229,120
229,119
228,119
228,117
227,117
227,114
226,114
226,113
225,113
